state,district,year,rape,kidnapping
KERALA,THRISSUR,2001,42,9
"MADHYA PRADESH",SIDHI,2001,42,30
MAHARASHTRA,"AMRAVATI RURAL",2001,42,25
MAHARASHTRA,"PUNE RURAL",2001,42,17
RAJASTHAN,BHILWARA,2001,42,223
"UTTAR PRADESH",ALLAHABAD,2001,42,75
DELHI,"SOUTH WEST",2001,42,113
ASSAM,GOLAGHAT,2002,42,60
CHHATTISGARH,JANJGIR,2002,42,6
MAHARASHTRA,"PUNE RURAL",2002,42,9
MAHARASHTRA,"THANE COMMR.",2002,42,41
ODISHA,KEONJHAR,2002,42,23
KERALA,MALAPPURAM,2003,42,4
RAJASTHAN,BHILWARA,2003,42,112
RAJASTHAN,BUNDI,2003,42,49
"ARUNACHAL PRADESH",TOTAL,2004,42,41
BIHAR,VAISHALI,2004,42,105
HARYANA,FARIDABAD,2004,42,49
KERALA,"TRIVANDRUM RURAL",2004,42,17
"MADHYA PRADESH",NARSINGHPUR,2004,42,4
RAJASTHAN,KOTA,2004,42,124
"UTTAR PRADESH",RAIBAREILLY,2004,42,43
ASSAM,TINSUKIA,2005,42,61
BIHAR,MADHUBANI,2005,42,0
MAHARASHTRA,BULDHANA,2005,42,16
PUNJAB,LUDHIANA,2005,42,37
TRIPURA,SOUTH,2005,42,12
"WEST BENGAL",HOOGHLY,2005,42,30
BIHAR,ARARIA,2006,42,12
RAJASTHAN,JHALAWAR,2006,42,51
"TAMIL NADU","THIRUNELVELI RURAL",2006,42,31
ASSAM,KOKRAJHAR,2007,42,38
ODISHA,BHADRAK,2007,42,20
"ARUNACHAL PRADESH",TOTAL,2008,42,47
ASSAM,GOLAGHAT,2008,42,50
ASSAM,UDALGURI,2008,42,27
JHARKHAND,CHAIBASA,2008,42,5
KERALA,PALAKKAD,2008,42,8
"MADHYA PRADESH",ANUPPUR,2008,42,2
"MADHYA PRADESH",GWALIOR,2008,42,47
MAHARASHTRA,JALGAON,2008,42,19
MAHARASHTRA,SANGLI,2008,42,13
RAJASTHAN,BANSWARA,2008,42,45
RAJASTHAN,BHILWARA,2008,42,58
"TAMIL NADU","THIRUNELVELI RURAL",2008,42,60
"UTTAR PRADESH",AGRA,2008,42,183
"UTTAR PRADESH",HARDOI,2008,42,60
"MADHYA PRADESH",SHAHDOL,2009,42,8
"WEST BENGAL",KOLKATA,2009,42,107
DELHI,SOUTH,2009,42,97
"ANDHRA PRADESH","VISAKHA RURAL",2010,42,12
BIHAR,ARARIA,2010,42,63
KARNATAKA,BELGAUM,2010,42,44
KERALA,"ERNAKULAM RURAL",2010,42,11
RAJASTHAN,CHITTORGARH,2010,42,96
RAJASTHAN,KARAULI,2010,42,72
"UTTAR PRADESH","KANPUR NAGAR",2010,42,263
"WEST BENGAL",PURULIA,2010,42,0
"ARUNACHAL PRADESH",TOTAL,2011,42,60
"MADHYA PRADESH",JHABUA,2011,42,17
MAHARASHTRA,KOLHAPUR,2011,42,35
MEGHALAYA,"KHASI HILLS EAST",2011,42,8
ASSAM,JORHAT,2012,42,95
CHHATTISGARH,KORIYA,2012,42,12
JHARKHAND,HAZARIBAGH,2012,42,49
KERALA,"KOZHIKODE RURAL",2012,42,13
MAHARASHTRA,BEED,2012,42,21
MIZORAM,AIZAWL,2012,42,0
ODISHA,NOWRANGPUR,2012,42,45
ODISHA,PURI,2012,42,51
RAJASTHAN,"KOTA RURAL",2012,42,44
ASSAM,TINSUKIA,2001,41,48
JHARKHAND,HAZARIBAGH,2001,41,31
"MADHYA PRADESH",MANDSAUR,2001,41,8
ODISHA,PURI,2001,41,24
"UTTAR PRADESH",BARABANKI,2001,41,55
"UTTAR PRADESH",SAHARANPUR,2001,41,52
"ANDHRA PRADESH",KRISHNA,2002,41,21
"ANDHRA PRADESH",NALGONDA,2002,41,37
ASSAM,KAMRUP,2002,41,104
ASSAM,TINSUKIA,2002,41,39
BIHAR,MOTIHARI,2002,41,37
ODISHA,PURI,2002,41,28
"TAMIL NADU","THIRUNELVELI RURAL",2002,41,47
"UTTAR PRADESH",AGRA,2002,41,102
"UTTAR PRADESH",KHIRI,2002,41,50
"UTTAR PRADESH",PILIBHIT,2002,41,34
"MADHYA PRADESH",REWA,2003,41,11
MAHARASHTRA,BHANDARA,2003,41,6
RAJASTHAN,BHARATPUR,2003,41,68
ASSAM,BONGAIGAON,2004,41,46
KERALA,THRISSUR,2004,41,10
MAHARASHTRA,AHMEDNAGAR,2004,41,13
MAHARASHTRA,"NAGPUR COMMR.",2004,41,38
MAHARASHTRA,"SOLAPUR RURAL",2004,41,10
RAJASTHAN,BIKANER,2004,41,25
"UTTAR PRADESH",BAREILLY,2004,41,84
CHHATTISGARH,SURAJPUR,2005,41,7
"MADHYA PRADESH",BARWANI,2005,41,5
MAHARASHTRA,CHANDRAPUR,2005,41,14
MAHARASHTRA,NANDED,2005,41,29
RAJASTHAN,BUNDI,2005,41,58
"WEST BENGAL",HOWRAH,2005,41,27
"ANDHRA PRADESH","EAST GODAVARI",2006,41,28
BIHAR,PURNEA,2006,41,27
KERALA,"TRIVANDRUM RURAL",2006,41,40
"MADHYA PRADESH",PANNA,2006,41,3
ODISHA,ANGUL,2006,41,13
PUNJAB,LUDHIANA,2006,41,61
BIHAR,BHOJPUR,2007,41,40
JHARKHAND,DHANBAD,2007,41,68
JHARKHAND,HAZARIBAGH,2007,41,25
KERALA,MALAPPURAM,2007,41,3
ODISHA,CUTTACK,2007,41,63
ODISHA,KEONJHAR,2007,41,32
ODISHA,KORAPUT,2007,41,29
TRIPURA,SOUTH,2007,41,18
"WEST BENGAL","PURAB MIDNAPUR",2007,41,75
CHHATTISGARH,BALRAMPUR,2008,41,5
HARYANA,KURUKSHETRA,2008,41,24
JHARKHAND,JAMSHEDPUR,2008,41,16
"MADHYA PRADESH",ALIRAJPUR,2008,41,14
"UTTAR PRADESH",PILIBHIT,2008,41,100
MAHARASHTRA,WARDHA,2009,41,15
ODISHA,KORAPUT,2009,41,27
RAJASTHAN,JHUNJHUNU,2009,41,50
"WEST BENGAL","PURAB MIDNAPUR",2009,41,74
DELHI,OUTER,2009,41,204
HARYANA,PALWAL,2010,41,27
"MADHYA PRADESH",DAMOH,2010,41,19
MEGHALAYA,"KHASI HILLS EAST",2010,41,2
ODISHA,KHURDA,2010,41,31
ODISHA,KORAPUT,2010,41,19
RAJASTHAN,BIKANER,2010,41,34
"ANDHRA PRADESH",CUDDAPAH,2011,41,65
BIHAR,PATNA,2011,41,167
HARYANA,BHIWANI,2011,41,30
ODISHA,KENDRAPARA,2011,41,43
JHARKHAND,DHANBAD,2012,41,101
KERALA,"TRIVANDRUM COMMR.",2012,41,16
ODISHA,RAYAGADA,2012,41,40
RAJASTHAN,"JAIPUR EAST",2012,41,55
"UTTAR PRADESH",MATHURA,2012,41,124
"UTTAR PRADESH",UNNAO,2012,41,174
BIHAR,NALANDA,2001,40,12
KARNATAKA,"BANGALORE COMMR.",2001,40,56
"WEST BENGAL",MALDA,2001,40,23
ASSAM,GOALPARA,2002,40,29
ASSAM,MORIGAON,2002,40,34
BIHAR,BHAGALPUR,2002,40,51
PUNJAB,LUDHIANA,2002,40,88
RAJASTHAN,HANUMANGARH,2002,40,27
"UTTAR PRADESH",ALLAHABAD,2002,40,63
"UTTAR PRADESH",SHAHJAHANPUR,2002,40,38
ASSAM,JORHAT,2003,40,28
CHHATTISGARH,KORIYA,2003,40,4
JHARKHAND,HAZARIBAGH,2003,40,20
"MADHYA PRADESH",MORENA,2003,40,21
"MADHYA PRADESH",NARSINGHPUR,2003,40,3
MAHARASHTRA,"PUNE COMMR.",2003,40,27
MEGHALAYA,TOTAL,2003,40,10
"UTTAR PRADESH",MEERUT,2003,40,55
"ANDHRA PRADESH",CYBERABAD,2004,40,69
GUJARAT,"AHMEDABAD COMMR.",2004,40,122
"MADHYA PRADESH",MANDSAUR,2004,40,9
ODISHA,KORAPUT,2004,40,16
RAJASTHAN,JHALAWAR,2004,40,61
"UTTAR PRADESH",BULANDSHAHAR,2004,40,69
ASSAM,GOALPARA,2005,40,69
BIHAR,SUPAUL,2005,40,5
"MADHYA PRADESH",TIKAMGARH,2005,40,6
MAHARASHTRA,"SOLAPUR RURAL",2005,40,16
RAJASTHAN,JHALAWAR,2005,40,46
RAJASTHAN,KOTA,2005,40,93
CHHATTISGARH,JANJGIR,2006,40,9
CHHATTISGARH,KORBA,2006,40,4
HARYANA,FARIDABAD,2006,40,66
KERALA,"KOZHIKODE RURAL",2006,40,8
"MADHYA PRADESH",DAMOH,2006,40,1
MAHARASHTRA,BHANDARA,2006,40,10
MANIPUR,TOTAL,2006,40,79
ODISHA,BOLANGIR,2006,40,20
RAJASTHAN,BHILWARA,2006,40,76
"ANDHRA PRADESH",PRAKASHAM,2007,40,65
ASSAM,BONGAIGAON,2007,40,38
HARYANA,GURGAON,2007,40,75
"MADHYA PRADESH",MANDSAUR,2007,40,12
"UTTAR PRADESH",RAMPUR,2007,40,54
JHARKHAND,BOKARO,2008,40,37
"MADHYA PRADESH",MANDSAUR,2008,40,15
"MADHYA PRADESH",SINGRAULI,2008,40,12
RAJASTHAN,CHITTORGARH,2008,40,80
RAJASTHAN,JHUNJHUNU,2008,40,35
RAJASTHAN,SIKAR,2008,40,38
"UTTAR PRADESH",MUZAFFARNAGAR,2008,40,112
"ANDHRA PRADESH",GUNTUR,2009,40,62
KERALA,"TRIVANDRUM COMMR.",2009,40,13
MAHARASHTRA,YAVATMAL,2009,40,25
RAJASTHAN,BANSWARA,2009,40,49
"UTTAR PRADESH",AGRA,2009,40,185
"UTTAR PRADESH","KANPUR NAGAR",2009,40,227
ASSAM,GOLAGHAT,2010,40,84
BIHAR,PURNEA,2010,40,88
CHHATTISGARH,DHAMTARI,2010,40,5
KERALA,ALAPUZHA,2010,40,20
"MADHYA PRADESH",HARDA,2010,40,9
"MADHYA PRADESH",MORENA,2010,40,17
MAHARASHTRA,"AMRAVATI RURAL",2010,40,29
"UTTAR PRADESH",BIJNOR,2010,40,100
"ANDHRA PRADESH",GUNTUR,2011,40,57
BIHAR,SAMASTIPUR,2011,40,105
HARYANA,GURGAON,2011,40,37
"MADHYA PRADESH",MORENA,2011,40,23
MAHARASHTRA,SANGLI,2011,40,13
RAJASTHAN,BUNDI,2011,40,99
TRIPURA,NORTH,2011,40,27
"UTTAR PRADESH",FATEHPUR,2011,40,92
"UTTAR PRADESH",SHAHJAHANPUR,2011,40,130
"ANDHRA PRADESH",KARIMNAGAR,2012,40,98
GUJARAT,"SURAT COMMR.",2012,40,66
"MADHYA PRADESH",DINDORI,2012,40,6
MAHARASHTRA,WARDHA,2012,40,25
ODISHA,SUNDARGARH,2012,40,15
"TAMIL NADU",CUDDALORE,2012,40,124
BIHAR,PURNEA,2001,39,23
GUJARAT,"AHMEDABAD COMMR.",2001,39,117
KERALA,KOZHIKODE,2001,39,10
MAHARASHTRA,BHANDARA,2001,39,1
MAHARASHTRA,"NAGPUR COMMR.",2001,39,51
MAHARASHTRA,"NASIK RURAL",2001,39,10
MAHARASHTRA,"THANE COMMR.",2001,39,37
CHHATTISGARH,RAIGARH,2002,39,5
JHARKHAND,GIRIDIH,2002,39,8
RAJASTHAN,NAGAUR,2002,39,28
RAJASTHAN,UDAIPUR,2002,39,75
"UTTAR PRADESH",HARDOI,2002,39,36
DELHI,"NORTH EAST",2002,39,111
BIHAR,MOTIHARI,2003,39,18
"MADHYA PRADESH",MANDLA,2003,39,2
MAHARASHTRA,BULDHANA,2003,39,13
ODISHA,PURI,2003,39,14
"TAMIL NADU",VILLUPURAM,2003,39,40
"WEST BENGAL",HOOGHLY,2003,39,31
BIHAR,GOPALGANJ,2004,39,27
JHARKHAND,GIRIDIH,2004,39,8
MAHARASHTRA,BULDHANA,2004,39,16
ODISHA,KEONJHAR,2004,39,14
BIHAR,PURNEA,2005,39,7
HARYANA,FARIDABAD,2005,39,67
RAJASTHAN,BHILWARA,2005,39,102
"WEST BENGAL",DARJEELING,2005,39,17
ODISHA,SUNDARGARH,2006,39,15
RAJASTHAN,BUNDI,2006,39,53
RAJASTHAN,GANGANAGAR,2006,39,35
"TAMIL NADU",VILLUPURAM,2006,39,26
"UTTAR PRADESH",KHIRI,2006,39,60
KERALA,PALAKKAD,2007,39,4
"MADHYA PRADESH",MORENA,2007,39,24
MAHARASHTRA,BULDHANA,2007,39,20
MAHARASHTRA,"NAGPUR RURAL",2007,39,22
RAJASTHAN,BANSWARA,2007,39,42
RAJASTHAN,HANUMANGARH,2007,39,19
RAJASTHAN,"JAIPUR RURAL",2007,39,66
RAJASTHAN,PALI,2007,39,62
"UTTAR PRADESH",ETAH,2007,39,66
"UTTAR PRADESH",MEERUT,2007,39,109
"ANDHRA PRADESH",NELLORE,2008,39,73
ASSAM,HAILAKANDI,2008,39,52
HARYANA,ROHTAK,2008,39,20
KERALA,"KOZHIKODE RURAL",2008,39,6
"MADHYA PRADESH",BARWANI,2008,39,4
MIZORAM,AIZAWL,2008,39,0
"ANDHRA PRADESH",VISAKHAPATNAM,2009,39,26
JHARKHAND,GUMLA,2009,39,14
KARNATAKA,BELGAUM,2009,39,43
"MADHYA PRADESH",DAMOH,2009,39,17
PUNJAB,LUDHIANA,2009,39,70
"TAMIL NADU",CHENNAI,2009,39,37
"WEST BENGAL",HOWRAH,2009,39,112
"ANDHRA PRADESH",CUDDAPAH,2010,39,51
ASSAM,LAKHIMPUR,2010,39,109
CHHATTISGARH,JANJGIR,2010,39,8
HARYANA,SIRSA,2010,39,30
JHARKHAND,LOHARDAGGA,2010,39,0
MAHARASHTRA,"NAGPUR RURAL",2010,39,26
ODISHA,ANGUL,2010,39,42
PUNJAB,FEROZPUR,2010,39,28
PUNJAB,"JALANDHAR RURAL",2010,39,26
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2010,39,77
"ANDHRA PRADESH",KURNOOL,2011,39,58
CHHATTISGARH,KORBA,2011,39,2
JHARKHAND,JAMSHEDPUR,2011,39,54
JHARKHAND,PAKUR,2011,39,8
KERALA,"TRIVANDRUM COMMR.",2011,39,13
"MADHYA PRADESH",BARWANI,2011,39,7
"MADHYA PRADESH",KHARGON,2011,39,13
RAJASTHAN,DUNGARPUR,2011,39,87
"UTTAR PRADESH",BIJNOR,2011,39,118
"UTTAR PRADESH",MATHURA,2011,39,123
"ANDHRA PRADESH",SRIKAKULAM,2012,39,18
BIHAR,PURNEA,2012,39,95
"JAMMU & KASHMIR",JAMMU,2012,39,92
RAJASTHAN,"JAIPUR RURAL",2012,39,86
HARYANA,PANIPAT,2001,38,10
KERALA,ERNAKULAM,2001,38,7
ODISHA,KEONJHAR,2001,38,19
ODISHA,KORAPUT,2001,38,13
PUNJAB,LUDHIANA,2001,38,46
"UTTAR PRADESH",BIJNOR,2001,38,59
"ARUNACHAL PRADESH",TOTAL,2002,38,38
CHHATTISGARH,KORBA,2002,38,3
JHARKHAND,DHANBAD,2002,38,25
MAHARASHTRA,"NASIK RURAL",2002,38,10
MEGHALAYA,TOTAL,2002,38,10
RAJASTHAN,BUNDI,2002,38,83
"WEST BENGAL",JALPAIGURI,2002,38,14
ASSAM,DIBRUGARH,2003,38,39
ASSAM,"GUWAHATI CITY",2003,38,184
ASSAM,SIBSAGAR,2003,38,76
BIHAR,ARARIA,2003,38,17
BIHAR,MADHUBANI,2003,38,29
HARYANA,PANIPAT,2003,38,9
JHARKHAND,CHAIBASA,2003,38,19
"MADHYA PRADESH",BARWANI,2003,38,8
"MADHYA PRADESH",SIDHI,2003,38,24
MAHARASHTRA,JALGAON,2003,38,9
ODISHA,KORAPUT,2003,38,21
PUNJAB,LUDHIANA,2003,38,47
"TAMIL NADU",CHENNAI,2003,38,0
"UTTAR PRADESH",LUCKNOW,2003,38,98
HARYANA,PANIPAT,2004,38,8
JHARKHAND,DHANBAD,2004,38,25
MAHARASHTRA,AKOLA,2004,38,21
RAJASTHAN,HANUMANGARH,2004,38,28
ASSAM,BONGAIGAON,2005,38,28
ASSAM,"GUWAHATI CITY",2005,38,93
ASSAM,SIBSAGAR,2005,38,73
JHARKHAND,DUMKA,2005,38,9
KARNATAKA,"BANGALORE COMMR.",2005,38,25
KERALA,THRISSUR,2005,38,11
CHHATTISGARH,RAIGARH,2006,38,7
"MADHYA PRADESH",ANUPPUR,2006,38,7
MAHARASHTRA,"PUNE RURAL",2006,38,27
"WEST BENGAL",KOLKATA,2006,38,76
BIHAR,BAGAHA,2007,38,26
BIHAR,NAWADAH,2007,38,15
"MADHYA PRADESH",HARDA,2007,38,7
ODISHA,ANGUL,2007,38,29
RAJASTHAN,NAGAUR,2007,38,37
"WEST BENGAL",PURULIA,2007,38,14
"ANDHRA PRADESH",KRISHNA,2008,38,52
HARYANA,JIND,2008,38,23
JHARKHAND,GUMLA,2008,38,11
MAHARASHTRA,GONDIA,2008,38,13
MANIPUR,TOTAL,2008,38,87
ODISHA,KALAHANDI,2008,38,29
ODISHA,ROURKELA,2008,38,19
ODISHA,SUNDARGARH,2008,38,15
"UTTAR PRADESH",RAIBAREILLY,2008,38,51
DELHI,SOUTH-WEST,2008,38,66
"MADHYA PRADESH","ASHOK NAGAR",2009,38,5
ODISHA,ROURKELA,2009,38,20
"UTTAR PRADESH",ALLAHABAD,2009,38,126
"UTTAR PRADESH",BAHRAICH,2009,38,86
"UTTAR PRADESH",BULANDSHAHAR,2009,38,81
"ANDHRA PRADESH",GUNTUR,2010,38,39
GUJARAT,PALANPUR,2010,38,108
JHARKHAND,JAMSHEDPUR,2010,38,58
ODISHA,KENDRAPARA,2010,38,33
"ANDHRA PRADESH",MEDAK,2011,38,33
"ANDHRA PRADESH","VISAKHA RURAL",2011,38,30
CHHATTISGARH,RAJNANDGAON,2011,38,21
GUJARAT,PALANPUR,2011,38,87
MAHARASHTRA,"NAVI MUMBAI",2011,38,17
RAJASTHAN,KARAULI,2011,38,78
JHARKHAND,DEOGHAR,2012,38,3
MAHARASHTRA,GONDIA,2012,38,10
MAHARASHTRA,OSMANABAD,2012,38,21
ODISHA,KENDRAPARA,2012,38,65
RAJASTHAN,"JAIPUR WEST",2012,38,60
"ANDHRA PRADESH","HYDERABAD CITY",2001,37,39
"ANDHRA PRADESH",KRISHNA,2001,37,21
ASSAM,"GUWAHATI CITY",2001,37,64
HARYANA,FARIDABAD,2001,37,53
JHARKHAND,GODDA,2001,37,26
"MADHYA PRADESH",NEEMUCH,2001,37,7
"TAMIL NADU",VILLUPURAM,2001,37,37
"ANDHRA PRADESH",ADILABAD,2002,37,32
BIHAR,PATNA,2002,37,36
CHHATTISGARH,KANKER,2002,37,6
HARYANA,FARIDABAD,2002,37,39
HARYANA,KARNAL,2002,37,8
JHARKHAND,CHAIBASA,2002,37,9
JHARKHAND,DEOGHAR,2002,37,2
JHARKHAND,PAKUR,2002,37,1
"MADHYA PRADESH",KATNI,2002,37,2
MAHARASHTRA,WARDHA,2002,37,19
RAJASTHAN,KOTA,2002,37,132
TRIPURA,WEST,2002,37,16
"UTTAR PRADESH",ETAH,2002,37,49
BIHAR,SITAMARHI,2003,37,24
CHHATTISGARH,KORBA,2003,37,6
"MADHYA PRADESH",DINDORI,2003,37,2
"MADHYA PRADESH",KATNI,2003,37,4
ODISHA,KEONJHAR,2003,37,25
TRIPURA,SOUTH,2003,37,7
DELHI,EAST,2003,37,119
BIHAR,NAWADAH,2004,37,12
CHHATTISGARH,DHAMTARI,2004,37,1
GOA,TOTAL,2004,37,10
JHARKHAND,CHAIBASA,2004,37,9
JHARKHAND,DEOGHAR,2004,37,2
JHARKHAND,PAKUR,2004,37,1
"UTTAR PRADESH",HARDOI,2004,37,50
JHARKHAND,JAMSHEDPUR,2005,37,9
"MADHYA PRADESH",JHABUA,2005,37,43
MIZORAM,TOTAL,2005,37,0
ODISHA,BHADRAK,2005,37,18
ODISHA,BOLANGIR,2005,37,32
PUNJAB,JALANDHAR,2005,37,65
"UTTAR PRADESH",MEERUT,2005,37,97
"ARUNACHAL PRADESH",TOTAL,2006,37,51
ASSAM,KAMRUP,2006,37,60
JHARKHAND,DHANBAD,2006,37,58
KERALA,KANNUR,2006,37,8
"MADHYA PRADESH",MANDSAUR,2006,37,11
MAHARASHTRA,"NAGPUR RURAL",2006,37,15
MAHARASHTRA,OSMANABAD,2006,37,7
RAJASTHAN,BARAN,2006,37,40
"UTTAR PRADESH",MEERUT,2006,37,85
"UTTAR PRADESH",UNNAO,2006,37,40
GUJARAT,"AHMEDABAD COMMR.",2007,37,147
HARYANA,FARIDABAD,2007,37,117
"MADHYA PRADESH",UMARIYA,2007,37,1
"UTTAR PRADESH",MUZAFFARNAGAR,2007,37,100
"ANDHRA PRADESH",ANANTAPUR,2008,37,36
"ANDHRA PRADESH","RANGA REDDY",2008,37,13
BIHAR,ARARIA,2008,37,30
GUJARAT,PALANPUR,2008,37,43
"MADHYA PRADESH",SIDHI,2008,37,17
MAHARASHTRA,CHANDRAPUR,2008,37,28
MAHARASHTRA,"NAGPUR RURAL",2008,37,20
ODISHA,PURI,2008,37,18
RAJASTHAN,CHURU,2008,37,22
DELHI,SOUTH,2008,37,51
BIHAR,GOPALGANJ,2009,37,71
HARYANA,BHIWANI,2009,37,53
JHARKHAND,PALAMU,2009,37,40
KERALA,KANNUR,2009,37,5
MAHARASHTRA,SANGLI,2009,37,9
PUNJAB,HOSHIARPUR,2009,37,24
RAJASTHAN,BIKANER,2009,37,36
RAJASTHAN,BUNDI,2009,37,93
"UTTAR PRADESH",KHIRI,2009,37,83
ASSAM,UDALGURI,2010,37,24
JHARKHAND,GIRIDIH,2010,37,18
UTTARAKHAND,DEHRADUN,2010,37,57
"ANDHRA PRADESH","VIJAYAWADA CITY",2011,37,50
BIHAR,MOTIHARI,2011,37,179
HARYANA,AMBALA,2011,37,23
HARYANA,JIND,2011,37,28
PUNJAB,BHATINDA,2011,37,20
RAJASTHAN,CHURU,2011,37,26
RAJASTHAN,"JAIPUR RURAL",2011,37,75
"ANDHRA PRADESH",PRAKASHAM,2012,37,69
HARYANA,ROHTAK,2012,37,23
JHARKHAND,GIRIDIH,2012,37,36
KARNATAKA,BELGAUM,2012,37,34
RAJASTHAN,"JAIPUR NORTH",2012,37,54
CHHATTISGARH,JASHPUR,2001,36,2
ODISHA,SUNDARGARH,2001,36,19
RAJASTHAN,BUNDI,2001,36,103
"WEST BENGAL",COOCHBEHAR,2001,36,41
DELHI,"NORTH EAST",2001,36,123
ASSAM,JORHAT,2002,36,32
MIZORAM,AIZAWL,2002,36,0
"UTTAR PRADESH",MORADABAD,2002,36,59
"WEST BENGAL",BIRBHUM,2002,36,22
"ANDHRA PRADESH",CHITTOOR,2003,36,34
CHHATTISGARH,RAIGARH,2003,36,15
HARYANA,FARIDABAD,2003,36,49
"MADHYA PRADESH",JHABUA,2003,36,35
MAHARASHTRA,CHANDRAPUR,2003,36,12
RAJASTHAN,AJMER,2003,36,95
TRIPURA,NORTH,2003,36,4
TRIPURA,WEST,2003,36,16
"WEST BENGAL",KOLKATA,2003,36,85
ASSAM,MORIGAON,2004,36,43
HARYANA,GURGAON,2004,36,34
KERALA,PALAKKAD,2004,36,5
MAHARASHTRA,BHANDARA,2004,36,16
MAHARASHTRA,JALGAON,2004,36,12
ODISHA,PURI,2004,36,24
"ANDHRA PRADESH",MEDAK,2005,36,27
ASSAM,KOKRAJHAR,2005,36,29
CHHATTISGARH,BALRAMPUR,2005,36,1
JHARKHAND,BOKARO,2005,36,41
KERALA,"KOZHIKODE RURAL",2005,36,6
KERALA,"TRIVANDRUM RURAL",2005,36,15
ODISHA,KEONJHAR,2005,36,21
RAJASTHAN,HANUMANGARH,2005,36,18
RAJASTHAN,PALI,2005,36,59
"ANDHRA PRADESH",KRISHNA,2006,36,38
"ANDHRA PRADESH",NIZAMABAD,2006,36,46
CHHATTISGARH,KABIRDHAM,2006,36,0
KERALA,WAYANADU,2006,36,2
"ANDHRA PRADESH",KURNOOL,2007,36,64
"UTTAR PRADESH",MATHURA,2007,36,45
ASSAM,KAMRUP,2008,36,78
BIHAR,VAISHALI,2008,36,114
HARYANA,SONIPAT,2008,36,43
MAHARASHTRA,BULDHANA,2008,36,25
MAHARASHTRA,"NASIK RURAL",2008,36,17
ODISHA,"DCP BBSR",2008,36,24
ODISHA,JAJPUR,2008,36,62
"UTTAR PRADESH",UNNAO,2008,36,69
ASSAM,JORHAT,2009,36,40
HARYANA,ROHTAK,2009,36,30
JHARKHAND,DHANBAD,2009,36,65
ODISHA,RAYAGADA,2009,36,16
RAJASTHAN,SIKAR,2009,36,59
ASSAM,KARIMGANJ,2010,36,47
BIHAR,SAMASTIPUR,2010,36,9
GOA,TOTAL,2010,36,18
HARYANA,JHAJJAR,2010,36,30
HARYANA,KURUKSHETRA,2010,36,26
"JAMMU & KASHMIR",JAMMU,2010,36,78
"JAMMU & KASHMIR",RAJOURI,2010,36,42
MAHARASHTRA,NANDED,2010,36,43
ODISHA,BARAGARH,2010,36,23
RAJASTHAN,"KOTA RURAL",2010,36,35
TRIPURA,SOUTH,2010,36,21
"WEST BENGAL",BANKURA,2010,36,45
"WEST BENGAL",DARJEELING,2010,36,75
GUJARAT,"SURAT COMMR.",2011,36,83
HARYANA,HISSAR,2011,36,62
HARYANA,YAMUNANAGAR,2011,36,36
KARNATAKA,GULBARGA,2011,36,73
"MADHYA PRADESH","ASHOK NAGAR",2011,36,5
"UTTAR PRADESH",BARABANKI,2011,36,142
"UTTAR PRADESH",UNNAO,2011,36,104
CHHATTISGARH,JAGDALPUR,2012,36,10
JHARKHAND,GUMLA,2012,36,44
KERALA,"KOZHIKODE COMMR.",2012,36,3
KERALA,WAYANADU,2012,36,9
MAHARASHTRA,"NAVI MUMBAI",2012,36,11
"TAMIL NADU","SALEM RURAL",2012,36,75
"UTTAR PRADESH",MORADABAD,2012,36,140
"UTTAR PRADESH",PRATAPGARH,2012,36,109
"UTTAR PRADESH",RAIBAREILLY,2012,36,91
"WEST BENGAL",ASANSOL,2012,36,49
"WEST BENGAL","BKP CP",2012,36,201
"ANDHRA PRADESH",MEDAK,2001,35,20
"ANDHRA PRADESH",NALGONDA,2001,35,19
ASSAM,DIBRUGARH,2001,35,37
ASSAM,GOALPARA,2001,35,35
BIHAR,BHAGALPUR,2001,35,9
CHHATTISGARH,KAWARDHA,2001,35,0
KERALA,WAYANADU,2001,35,1
"MADHYA PRADESH",MORENA,2001,35,18
MAHARASHTRA,"SOLAPUR RURAL",2001,35,14
MAHARASHTRA,WARDHA,2001,35,12
ODISHA,BHADRAK,2001,35,18
RAJASTHAN,BIKANER,2001,35,34
RAJASTHAN,HANUMANGARH,2001,35,22
"ANDHRA PRADESH",NIZAMABAD,2002,35,21
CHHATTISGARH,JASHPUR,2002,35,0
"MADHYA PRADESH",PANNA,2002,35,7
TRIPURA,NORTH,2002,35,6
"UTTAR PRADESH",MEERUT,2002,35,74
"UTTAR PRADESH",RAIBAREILLY,2002,35,35
"ANDHRA PRADESH",ADILABAD,2003,35,16
ASSAM,MORIGAON,2003,35,46
JHARKHAND,GIRIDIH,2003,35,22
JHARKHAND,JAMTARA,2003,35,7
ODISHA,KANDHAMAL,2003,35,23
RAJASTHAN,KOTA,2003,35,115
RAJASTHAN,UDAIPUR,2003,35,72
"TAMIL NADU","SALEM RURAL",2003,35,62
CHHATTISGARH,MAHASAMUND,2004,35,3
"MADHYA PRADESH","ASHOK NAGAR",2004,35,3
"TAMIL NADU",THOOTHUGUDI,2004,35,18
"UTTAR PRADESH",BADAUN,2004,35,43
"ANDHRA PRADESH",CHITTOOR,2005,35,58
"ARUNACHAL PRADESH",TOTAL,2005,35,39
CHHATTISGARH,RAIGARH,2005,35,11
GUJARAT,"AHMEDABAD COMMR.",2005,35,136
MAHARASHTRA,WARDHA,2005,35,31
