state,district,year,rape,kidnapping
KERALA,TOTAL,2003,394,102
PUNJAB,TOTAL,2004,390,311
HARYANA,TOTAL,2004,386,292
DELHI,"DELHI UT TOTAL",2001,381,964
PUNJAB,TOTAL,2003,380,295
GUJARAT,TOTAL,2008,374,1119
"WEST BENGAL",MURSHIDABAD,2007,369,123
HARYANA,TOTAL,2002,361,290
GUJARAT,TOTAL,2006,354,945
HARYANA,TOTAL,2003,353,271
KARNATAKA,TOTAL,2005,343,312
GUJARAT,TOTAL,2004,339,905
"WEST BENGAL",JALPAIGURI,2008,334,239
GUJARAT,TOTAL,2005,324,916
KARNATAKA,TOTAL,2003,321,244
GUJARAT,TOTAL,2007,316,1089
"WEST BENGAL","24 PARGANAS SOUTH",2008,308,275
"WEST BENGAL",MURSHIDABAD,2008,308,165
"JAMMU & KASHMIR",TOTAL,2012,303,1041
PUNJAB,TOTAL,2002,299,354
PUNJAB,TOTAL,2001,298,324
KARNATAKA,TOTAL,2001,293,271
KARNATAKA,TOTAL,2002,292,300
KARNATAKA,TOTAL,2004,291,286
"JAMMU & KASHMIR",TOTAL,2007,288,707
GUJARAT,TOTAL,2001,286,857
"WEST BENGAL","24 PARGANAS SOUTH",2009,280,128
"JAMMU & KASHMIR",TOTAL,2011,277,1023
"WEST BENGAL","24 PARGANAS SOUTH",2011,274,349
GUJARAT,TOTAL,2002,267,807
"WEST BENGAL","24 PARGANAS SOUTH",2010,258,215
"WEST BENGAL",MURSHIDABAD,2012,257,464
"JAMMU & KASHMIR",TOTAL,2006,250,723
"JAMMU & KASHMIR",TOTAL,2010,245,840
"WEST BENGAL","24 PARGANAS SOUTH",2012,244,419
TRIPURA,TOTAL,2010,238,91
"JAMMU & KASHMIR",TOTAL,2009,237,825
GUJARAT,TOTAL,2003,236,859
"WEST BENGAL",MURSHIDABAD,2005,236,110
"WEST BENGAL",JALPAIGURI,2007,235,170
MAHARASHTRA,"MUMBAI COMMR.",2012,232,141
"WEST BENGAL","24 PARGANAS NORTH",2007,231,236
TRIPURA,TOTAL,2012,229,114
"WEST BENGAL",MURSHIDABAD,2006,224,111
MAHARASHTRA,"MUMBAI COMMR.",2011,221,166
BIHAR,PURNEA,2007,219,58
"JAMMU & KASHMIR",TOTAL,2008,219,656
"JAMMU & KASHMIR",TOTAL,2004,218,632
MAHARASHTRA,"MUMBAI COMMR.",2008,218,116
"WEST BENGAL","24 PARGANAS NORTH",2005,217,153
"JAMMU & KASHMIR",TOTAL,2003,211,615
"WEST BENGAL",JALPAIGURI,2011,211,257
"WEST BENGAL","24 PARGANAS SOUTH",2007,205,176
TRIPURA,TOTAL,2011,205,116
TRIPURA,TOTAL,2008,204,110
"WEST BENGAL","24 PARGANAS NORTH",2011,203,414
"JAMMU & KASHMIR",TOTAL,2005,201,658
MAHARASHTRA,MUMBAI,2005,201,122
"WEST BENGAL",MURSHIDABAD,2004,197,106
"WEST BENGAL",MALDA,2009,197,132
MAHARASHTRA,"MUMBAI COMMR.",2010,194,146
"WEST BENGAL",JALPAIGURI,2009,193,177
"JAMMU & KASHMIR",TOTAL,2002,192,596
"WEST BENGAL","24 PARGANAS NORTH",2008,192,215
DELHI,NORTH-WEST,2005,190,349
"WEST BENGAL","24 PARGANAS SOUTH",2006,190,154
TRIPURA,TOTAL,2009,190,92
TRIPURA,TOTAL,2006,189,62
MAHARASHTRA,MUMBAI,2004,187,113
BIHAR,PURNEA,2008,185,88
"WEST BENGAL",NADIA,2011,185,453
"WEST BENGAL",NADIA,2007,183,175
"HIMACHAL PRADESH",TOTAL,2009,183,122
"HIMACHAL PRADESH",TOTAL,2012,183,152
MAHARASHTRA,"MUMBAI COMMR.",2009,182,86
ASSAM,DHUBRI,2010,181,224
"WEST BENGAL",JALPAIGURI,2010,180,206
"WEST BENGAL",MALDA,2011,179,202
"WEST BENGAL",NADIA,2008,178,204
"WEST BENGAL","24 PARGANAS NORTH",2004,176,124
"WEST BENGAL",NADIA,2009,175,276
"WEST BENGAL","24 PARGANAS NORTH",2006,174,140
MAHARASHTRA,"MUMBAI COMMR.",2007,174,120
"WEST BENGAL",NADIA,2012,174,374
"WEST BENGAL","24 PARGANAS NORTH",2010,173,292
ASSAM,NAGAON,2012,173,348
"MADHYA PRADESH",INDORE,2012,173,42
"JAMMU & KASHMIR",TOTAL,2001,169,504
DELHI,NORTH-WEST,2006,169,287
"HIMACHAL PRADESH",TOTAL,2011,168,191
"WEST BENGAL",MALDA,2010,167,122
"WEST BENGAL",NADIA,2010,167,339
BIHAR,MUZAFFARPUR,2004,166,42
"WEST BENGAL","24 PARGANAS NORTH",2009,166,249
MAHARASHTRA,"MUMBAI COMMR.",2006,165,129
ASSAM,NAGAON,2011,165,358
MEGHALAYA,TOTAL,2012,164,24
"WEST BENGAL",JALPAIGURI,2012,163,279
TRIPURA,TOTAL,2005,162,43
ASSAM,NAGAON,2009,162,221
TRIPURA,TOTAL,2004,160,54
"HIMACHAL PRADESH",TOTAL,2010,160,162
CHHATTISGARH,RAIPUR,2002,159,35
"HIMACHAL PRADESH",TOTAL,2007,159,150
ASSAM,DHUBRI,2012,159,305
"WEST BENGAL",NADIA,2006,158,134
"WEST BENGAL",MALDA,2012,158,189
TRIPURA,TOTAL,2007,157,81
"HIMACHAL PRADESH",TOTAL,2008,157,137
ASSAM,DHUBRI,2011,157,276
"MADHYA PRADESH",BETUL,2007,156,17
"HIMACHAL PRADESH",TOTAL,2004,153,99
"MADHYA PRADESH",BHOPAL,2009,152,58
ASSAM,DHUBRI,2009,150,147
ASSAM,NAGAON,2005,149,181
BIHAR,KATIHAR,2007,149,90
MEGHALAYA,TOTAL,2010,149,37
RAJASTHAN,UDAIPUR,2012,149,163
"MADHYA PRADESH",GUNA,2002,148,4
"WEST BENGAL",NADIA,2005,148,97
ASSAM,DHUBRI,2007,148,111
ASSAM,NAGAON,2010,148,293
UTTARAKHAND,TOTAL,2012,148,256
UTTARAKHAND,TOTAL,2006,147,183
"MADHYA PRADESH",BHOPAL,2011,146,32
CHHATTISGARH,SARGUJA,2001,145,16
CHHATTISGARH,RAIPUR,2009,145,35
"MADHYA PRADESH",SATNA,2009,145,18
CHHATTISGARH,DURG,2001,144,42
"MADHYA PRADESH",BETUL,2010,144,22
CHHATTISGARH,RAIPUR,2004,143,27
"WEST BENGAL",COOCHBEHAR,2010,143,170
"MADHYA PRADESH",BHOPAL,2012,143,49
CHHATTISGARH,SARGUJA,2002,142,19
"MADHYA PRADESH",BETUL,2006,142,24
"MADHYA PRADESH",SAGAR,2001,141,16
"MADHYA PRADESH",SAGAR,2004,141,23
"HIMACHAL PRADESH",TOTAL,2005,141,102
"WEST BENGAL",COOCHBEHAR,2008,141,92
KERALA,"TRIVANDRUM RURAL",2011,140,15
"WEST BENGAL",COOCHBEHAR,2007,139,60
"WEST BENGAL",COOCHBEHAR,2009,139,139
"MADHYA PRADESH",CHHINDWARA,2009,138,27
"HIMACHAL PRADESH",TOTAL,2002,137,116
"MADHYA PRADESH",BETUL,2003,137,22
RAJASTHAN,PRATAPGARH,2012,137,78
"MADHYA PRADESH",SAGAR,2002,136,24
"MADHYA PRADESH",BETUL,2005,136,12
"WEST BENGAL","24 PARGANAS SOUTH",2005,136,117
CHHATTISGARH,RAIPUR,2010,136,39
"MADHYA PRADESH",DHAR,2005,134,36
MAHARASHTRA,MUMBAI,2003,133,85
UTTARAKHAND,TOTAL,2005,133,125
ASSAM,NAGAON,2006,133,177
CHHATTISGARH,RAIPUR,2011,133,35
"WEST BENGAL",COOCHBEHAR,2011,133,174
CHHATTISGARH,DURG,2002,132,23
"MADHYA PRADESH",CHHINDWARA,2004,132,12
"MADHYA PRADESH",SAGAR,2011,131,104
CHHATTISGARH,RAIPUR,2006,130,42
"WEST BENGAL",MALDA,2008,130,57
"MADHYA PRADESH",BETUL,2009,130,30
"MADHYA PRADESH",JABALPUR,2010,130,32
"WEST BENGAL","UTTAR DINAJPUR",2010,130,99
MEGHALAYA,TOTAL,2011,130,37
"ANDHRA PRADESH","WEST GODAVARI",2012,130,59
"MADHYA PRADESH",JABALPUR,2009,129,33
"MADHYA PRADESH",INDORE,2011,129,52
UTTARAKHAND,TOTAL,2011,129,283
RAJASTHAN,ALWAR,2012,129,154
MAHARASHTRA,MUMBAI,2002,128,61
DELHI,"NORTH WEST",2003,128,191
BIHAR,BETTIAH,2004,128,40
CHHATTISGARH,DURG,2005,128,19
CHHATTISGARH,RAIPUR,2008,128,36
MAHARASHTRA,MUMBAI,2001,127,12
"MADHYA PRADESH",JABALPUR,2008,127,40
"MADHYA PRADESH",SAGAR,2009,127,40
"ANDHRA PRADESH","WEST GODAVARI",2010,127,122
"MADHYA PRADESH",JABALPUR,2012,127,45
CHHATTISGARH,RAIPUR,2003,126,33
"HIMACHAL PRADESH",TOTAL,2003,126,96
"WEST BENGAL","UTTAR DINAJPUR",2011,126,149
CHHATTISGARH,RAIPUR,2005,125,41
"MADHYA PRADESH",CHHINDWARA,2006,125,14
KERALA,KASARGOD,2011,125,8
"MADHYA PRADESH",SAGAR,2012,125,61
"HIMACHAL PRADESH",TOTAL,2001,124,105
"MADHYA PRADESH",GUNA,2001,124,15
CHHATTISGARH,DURG,2004,124,30
DELHI,"NORTH WEST",2004,124,203
"WEST BENGAL",COOCHBEHAR,2006,124,48
CHHATTISGARH,SARGUJA,2004,123,13
ASSAM,BARPETA,2009,123,98
"WEST BENGAL","24 PARGANAS SOUTH",2004,122,100
"MADHYA PRADESH",CHHINDWARA,2005,122,18
"MADHYA PRADESH",INDORE,2008,122,46
"MADHYA PRADESH",CHHINDWARA,2012,122,19
"MADHYA PRADESH",SAGAR,2003,121,28
DELHI,OUTER,2007,121,237
"MADHYA PRADESH",BETUL,2008,121,22
UTTARAKHAND,TOTAL,2010,121,249
DELHI,"NORTH WEST",2002,120,259
CHHATTISGARH,RAIPUR,2007,120,39
BIHAR,KATIHAR,2008,120,66
"MADHYA PRADESH",CHHINDWARA,2008,120,11
BIHAR,KATIHAR,2009,120,41
"MADHYA PRADESH",SAGAR,2010,120,63
"MADHYA PRADESH",BETUL,2011,120,18
CHHATTISGARH,SARGUJA,2003,119,12
CHHATTISGARH,DURG,2007,119,22
"MADHYA PRADESH",SAGAR,2008,119,28
ASSAM,GOALPARA,2010,119,117
"WEST BENGAL",JALPAIGURI,2006,118,50
TRIPURA,WEST,2010,118,42
"MADHYA PRADESH",RAISEN,2011,118,22
"MADHYA PRADESH",BETUL,2012,118,10
"WEST BENGAL","24 PARGANAS NORTH",2012,118,338
CHHATTISGARH,DURG,2003,117,17
UTTARAKHAND,TOTAL,2007,117,227
"ANDHRA PRADESH","WEST GODAVARI",2008,117,70
"MADHYA PRADESH",SAGAR,2006,116,30
"MADHYA PRADESH",CHHINDWARA,2007,116,13
ASSAM,DHUBRI,2008,116,126
DELHI,SOUTH-EAST,2012,116,306
"MADHYA PRADESH",BETUL,2002,115,20
UTTARAKHAND,TOTAL,2004,115,127
ASSAM,DHUBRI,2006,115,94
"MADHYA PRADESH",SAGAR,2007,115,30
CHHATTISGARH,DURG,2011,115,86
"MADHYA PRADESH",VIDISHA,2002,114,16
TRIPURA,TOTAL,2003,114,29
ASSAM,NAGAON,2007,114,203
"ANDHRA PRADESH","WEST GODAVARI",2009,114,89
"WEST BENGAL",BURDWAN,2005,113,52
"HIMACHAL PRADESH",TOTAL,2006,113,109
"MADHYA PRADESH",BHOPAL,2008,113,36
"MADHYA PRADESH",VIDISHA,2001,112,6
ASSAM,NAGAON,2008,112,209
MEGHALAYA,TOTAL,2009,112,26
UTTARAKHAND,TOTAL,2009,111,247
RAJASTHAN,UDAIPUR,2010,111,151
"MADHYA PRADESH",CHHINDWARA,2011,111,22
