Year,State, Population 
2006,ANDHRA PRADESH,79684669
2006,KARNATAKA,56471223
2006,GOA,1395197
2006,LAKSHADWEEP,62328
2006,KERALA,32539218
2006,TAMIL NADU,66596712
2006,PUDUCHERRY,1096354
2006,ANDAMAN & NICOBAR ISLANDS,367134
2007,JAMMU & KASHMIR,11399223
2007,HIMACHAL PRADESH,6500749
2007,PUNJAB,26147152
2007,CHANDIGARH,984036
2007,UTTARAKHAND,9343788
2007,HARYANA,23378910
2007,NCT OF DELHI,15399283
2007,RAJASTHAN,62968178
2007,UTTAR PRADESH,184211368
2007,BIHAR,94292937
2007,SIKKIM,578190
2007,ARUNACHAL PRADESH,1248506
2007,NAGALAND,1994086
2007,MANIPUR,2639909
2007,MIZORAM,1001941
2007,TRIPURA,3450828
2007,MEGHALAYA,2661510
2007,ASSAM,29094990
2007,WEST BENGAL,86167391
2007,JHARKHAND,30179035
2007,ODISHA,39540088
2007,CHHATTISGARH,23350473
2007,MADHYA PRADESH,66969664
2007,GUJARAT,55891172
2007,DAMAN & DIU,203880
2007,DADRA & NAGAR HAVELI,286749
2007,MAHARASHTRA,105155036
2007,ANDHRA PRADESH,80489509
2007,KARNATAKA,57231345
2007,GOA,1405610
2007,LAKSHADWEEP,62681
2007,KERALA,32681713
2007,TAMIL NADU,67509093
2007,PUDUCHERRY,1121274
2007,ANDAMAN & NICOBAR ISLANDS,369344
2008,JAMMU & KASHMIR,11623894
2008,HIMACHAL PRADESH,6572327
2008,PUNJAB,26461156
2008,CHANDIGARH,998084
2008,UTTARAKHAND,9489854
2008,HARYANA,23766953
2008,NCT OF DELHI,15672462
2008,RAJASTHAN,64065934
2008,UTTAR PRADESH,187280412
2008,BIHAR,96222087
2008,SIKKIM,584561
2008,ARUNACHAL PRADESH,1275107
2008,NAGALAND,1995008
2008,MANIPUR,2682379
2008,MIZORAM,1020681
2008,TRIPURA,3494715
2008,MEGHALAYA,2721585
2008,ASSAM,29510188
2008,WEST BENGAL,87172386
2008,JHARKHAND,30731645
2008,ODISHA,40018933
2008,CHHATTISGARH,23782222
2008,MADHYA PRADESH,68082545
2008,GUJARAT,56785962
2008,DAMAN & DIU,211624
2008,DADRA & NAGAR HAVELI,297954
2008,MAHARASHTRA,106575225
2008,ANDHRA PRADESH,81294348
2008,KARNATAKA,57991467
2008,GOA,1416024
2008,LAKSHADWEEP,63033
2008,KERALA,32824208
2008,TAMIL NADU,68421474
2008,PUDUCHERRY,1146195
2008,ANDAMAN & NICOBAR ISLANDS,371555
2009,JAMMU & KASHMIR,11848565
2009,HIMACHAL PRADESH,6643904
2009,PUNJAB,26775160
2009,CHANDIGARH,1012133
2009,UTTARAKHAND,9635921
2009,HARYANA,24154996
2009,NCT OF DELHI,15945640
2009,RAJASTHAN,65163690
2009,UTTAR PRADESH,190349456
2009,BIHAR,98151238
2009,SIKKIM,590932
2009,ARUNACHAL PRADESH,1301708
2009,NAGALAND,1995929
2009,MANIPUR,2724848
2009,MIZORAM,1039422
2009,TRIPURA,3538601
2009,MEGHALAYA,2781659
2009,ASSAM,29925385
2009,WEST BENGAL,88177381
2009,JHARKHAND,31284254
2009,ODISHA,40497778
2009,CHHATTISGARH,24213971
2009,MADHYA PRADESH,69195426
2009,GUJARAT,57680753
2009,DAMAN & DIU,219369
2009,DADRA & NAGAR HAVELI,309159
2009,MAHARASHTRA,107995415
2009,ANDHRA PRADESH,82099188
2009,KARNATAKA,58751588
2009,GOA,1426437
2009,LAKSHADWEEP,63386
2009,KERALA,32966702
2009,TAMIL NADU,69333855
2009,PUDUCHERRY,1171115
2009,ANDAMAN & NICOBAR ISLANDS,373765
2010,JAMMU & KASHMIR,12073237
2010,HIMACHAL PRADESH,6715482
2010,PUNJAB,27089163
2010,CHANDIGARH,1026182
2010,UTTARAKHAND,9781987
2010,HARYANA,24543039
2010,NCT OF DELHI,16218819
2010,RAJASTHAN,66261446
2010,UTTAR PRADESH,193418500
2010,BIHAR,100080388
2010,SIKKIM,597304
2010,ARUNACHAL PRADESH,1328308
2010,NAGALAND,1996850
2010,MANIPUR,2767317
2010,MIZORAM,1058163
2010,TRIPURA,3582487
2010,MEGHALAYA,2841734
2010,ASSAM,30340582
2010,WEST BENGAL,89182376
2010,JHARKHAND,31836864
2010,ODISHA,40976624
2010,CHHATTISGARH,24645720
2010,MADHYA PRADESH,70308307
2010,GUJARAT,58575544
2010,DAMAN & DIU,227113
2010,DADRA & NAGAR HAVELI,320365
2010,MAHARASHTRA,109415605
2010,ANDHRA PRADESH,82904028
2010,KARNATAKA,59511710
2010,GOA,1436850
2010,LAKSHADWEEP,63739
2010,KERALA,33109197
2010,TAMIL NADU,70246236
2010,PUDUCHERRY,1196036
2010,ANDAMAN & NICOBAR ISLANDS,375976
2011,JAMMU & KASHMIR,12541302
2011,HIMACHAL PRADESH,6864602
2011,PUNJAB,27743338
2011,CHANDIGARH,1055450
2011,UTTARAKHAND,10086292
2011,HARYANA,25351462
2011,NCT OF DELHI,16787941
2011,RAJASTHAN,68548437
2011,UTTAR PRADESH,199812341
2011,BIHAR,104099452
2011,SIKKIM,610577
2011,ARUNACHAL PRADESH,1383727
2011,NAGALAND,1978502
2011,MANIPUR,2855794
2011,MIZORAM,1097206
2011,TRIPURA,3673917
2011,MEGHALAYA,2966889
2011,ASSAM,31205576
2011,WEST BENGAL,91276115
2011,JHARKHAND,32988134
2011,ODISHA,41974218
2011,CHHATTISGARH,25545198
2011,MADHYA PRADESH,72626809
2011,GUJARAT,60439692
2011,DAMAN & DIU,243247
2011,DADRA & NAGAR HAVELI,343709
2011,MAHARASHTRA,112374333
2011,ANDHRA PRADESH,84580777
2011,KARNATAKA,61095297
2011,GOA,1458545
2011,LAKSHADWEEP,64473
2011,KERALA,33406061
2011,TAMIL NADU,72147030
2011,PUDUCHERRY,1247953
2011,ANDAMAN & NICOBAR ISLANDS,380581
2012,JAMMU & KASHMIR,12522579
2012,HIMACHAL PRADESH,6858637
2012,PUNJAB,27717171
2012,CHANDIGARH,1054279
2012,UTTARAKHAND,10074120
2012,HARYANA,25319125
2012,NCT OF DELHI,16765176
2012,RAJASTHAN,68456957
2012,UTTAR PRADESH,199556587
2012,BIHAR,103938689
2012,SIKKIM,610046
2012,ARUNACHAL PRADESH,1381510
